"0","iihs_data_EX8 <- read.csv(""/home/msurdek/Documents/School/DAT 610 Optimization & Risk Assessment/Assignments/Module Eight Exercise/iihs_data_for_EX_8.csv"")"
"0","iihs_data_EX8 <- na.omit(iihs_data_EX8) "
"0","rownames(iihs_data_EX8) <- NULL"
"0","yearMean <- mean(table(iihs_data_EX8$YEAR))"
"0","rpois(10, yearMean)    # 10 samples"
"1"," [1]"
"1"," 10"
"1"," 17"
"1"," 17"
"1"," 26"
"1"," 19"
"1"," 24"
"1"," 20"
"1"," 25"
"1"," 16"
"1"," 25"
"1","
"
"0","rpois(1, yearMean)	#  1 sample"
"1","[1]"
"1"," 15"
"1","
"
